Codigo de via;Clase de la via;Particula de la via;Nombre de la via;Tipo de tramo ;Nombre de la aproximacion;Numero inicial del tramo;Calificador del numero inicial del tramo;Numero final del tramo;Calificador del numero final del tramo;Zona S E R  del tramo
4700;CALLE                   ;DEL   ;ACUERDO                                         ;impar;NUM;1;  ;999;  ;15
4700;CALLE                   ;DEL   ;ACUERDO                                         ;par  ;NUM;2;  ;998;  ;15
4900;CALLE                   ;DE    ;ADELA BALBOA                                    ;impar;NUM;1;  ;999;  ;61
4900;CALLE                   ;DE    ;ADELA BALBOA                                    ;par  ;NUM;2;  ;998;  ;61
5000;CALLE                   ;DE LAS;ADELFAS                                         ;impar;NUM;1;  ;999;  ;32
5000;CALLE                   ;DE LAS;ADELFAS                                         ;par  ;NUM;2;  ;998;  ;32
5900;CALLE                   ;DE    ;ADRIAN PULIDO                                   ;impar;NUM;1;  ;999;  ;61
5900;CALLE                   ;DE    ;ADRIAN PULIDO                                   ;par  ;NUM;2;  ;998;  ;61
6000;CALLE                   ;DE LA ;ADUANA                                          ;impar;NUM;1;  ;999;  ;163
6000;CALLE                   ;DE LA ;ADUANA                                          ;par  ;NUM;2;  ;998;  ;163
7300;CALLE                   ;DEL   ;AGAVE                                           ;impar;NUM;1;  ;999;  ;65
7300;CALLE                   ;DEL   ;AGAVE                                           ;par  ;NUM;2;  ;998;  ;65
7700;CALLE                   ;DEL   ;AGRACEJO                                        ;impar;NUM;1;  ;999;  ;65
7700;CALLE                   ;DEL   ;AGRACEJO                                        ;par  ;NUM;2;  ;998;  ;65
8300;CALLE                   ;DE LAS;AGUAS                                           ;impar;NUM;1;  ;999;  ;11
8300;CALLE                   ;DE LAS;AGUAS                                           ;par  ;NUM;2;  ;998;  ;11
8700;CALLE                   ;DEL   ;AGUILA                                          ;impar;NUM;1;  ;999;  ;11
8700;CALLE                   ;DEL   ;AGUILA                                          ;par  ;NUM;2;  ;998;  ;11
9200;CALLE                   ;DE LAS;AGUILEÑAS                                       ;impar;NUM;1;  ;999;  ;64
9200;CALLE                   ;DE LAS;AGUILEÑAS                                       ;par  ;NUM;2;  ;998;  ;64
9300;CALLE                   ;DE    ;AGUILON                                         ;impar;NUM;1;  ;999;  ;23
9300;CALLE                   ;DE    ;AGUILON                                         ;par  ;NUM;2;  ;998;  ;23
9500;CALLE                   ;DE    ;AGUIRRE                                         ;impar;NUM;1;  ;999;  ;41
9500;CALLE                   ;DE    ;AGUIRRE                                         ;par  ;NUM;2;  ;998;  ;41
9800;CALLE                   ;DE    ;AGUSTIN DE BETANCOURT                           ;impar;NUM;1;  ;999;  ;75
9800;CALLE                   ;DE    ;AGUSTIN DE BETANCOURT                           ;par  ;NUM;2;  ;998;  ;75
10100;CALLE                   ;DE    ;AGUSTIN DURAN                                   ;impar;NUM;1;  ;999;  ;44
10100;CALLE                   ;DE    ;AGUSTIN DURAN                                   ;par  ;NUM;2;  ;998;  ;44
10200;CALLE                   ;DE    ;AGUSTIN DE FOXA                                 ;impar;NUM;1;  ;999;  ;56
10200;CALLE                   ;DE    ;AGUSTIN DE FOXA                                 ;par  ;NUM;2;  ;998;  ;56
10400;CALLE                   ;DE    ;AGUSTIN QUEROL                                  ;impar;NUM;1;  ;999;  ;35
10400;CALLE                   ;DE    ;AGUSTIN QUEROL                                  ;par  ;NUM;2;  ;998;  ;35
10600;CALLE                   ;DE    ;AGUSTIN DE ROJAS                                ;impar;NUM;1;  ;999;  ;53
10600;CALLE                   ;DE    ;AGUSTIN DE ROJAS                                ;par  ;NUM;2;  ;998;  ;53
10800;CALLE                   ;DE    ;AGUSTIN VIÑAMATA                                ;impar;NUM;1;  ;999;  ;32
10800;CALLE                   ;DE    ;AGUSTIN VIÑAMATA                                ;par  ;NUM;2;  ;998;  ;32
10900;CALLE                   ;DE    ;AGUSTINA DE ARAGON                              ;impar;NUM;1;  ;999;  ;45
10900;CALLE                   ;DE    ;AGUSTINA DE ARAGON                              ;par  ;NUM;2;  ;998;  ;45
11800;CALLE                   ;DEL   ;AILANTO                                         ;impar;NUM;1;  ;999;  ;64
11800;CALLE                   ;DEL   ;AILANTO                                         ;par  ;NUM;2;  ;998;  ;64
11900;CALLE                   ;DE    ;AIZGORRI                                        ;impar;NUM;1;  ;999;  ;43
11900;CALLE                   ;DE    ;AIZGORRI                                        ;par  ;NUM;2;  ;998;  ;43
12000;CALLE                   ;DE    ;AJALVIR                                         ;impar;NUM;1;  ;9999;  ;93
12000;CALLE                   ;DE    ;AJALVIR                                         ;par  ;NUM;2;  ;9998;  ;93
12800;CALLE                   ;DE LA ;ALAMEDA                                         ;impar;NUM;1;  ;999;  ;13
12800;CALLE                   ;DE LA ;ALAMEDA                                         ;par  ;NUM;2;  ;998;  ;13
13200;CALLE                   ;DE    ;ALAMEDILLA                                      ;impar;NUM;1;  ;999;  ;27
13200;CALLE                   ;DE    ;ALAMEDILLA                                      ;par  ;NUM;2;  ;998;  ;27
13400;CALLE                   ;DEL   ;ALAMILLO                                        ;impar;NUM;1;  ;999;  ;11
13400;CALLE                   ;DEL   ;ALAMILLO                                        ;par  ;NUM;2;  ;998;  ;11
13500;PLAZA                   ;DEL   ;ALAMILLO                                        ;impar;NUM;1;  ;999;  ;11
13500;PLAZA                   ;DEL   ;ALAMILLO                                        ;par  ;NUM;2;  ;998;  ;11
13600;CALLE                   ;DEL   ;ALAMO                                           ;impar;NUM;1;  ;999;  ;15
13600;CALLE                   ;DEL   ;ALAMO                                           ;par  ;NUM;2;  ;998;  ;15
14400;CALLE                   ;DEL   ;ALATERNO                                        ;impar;NUM;1;  ;999;  ;56
14400;CALLE                   ;DEL   ;ALATERNO                                        ;par  ;NUM;2;  ;998;  ;56
16200;CALLE                   ;DE    ;ALBENDIEGO                                      ;impar;NUM;1;  ;999;  ;64
16200;CALLE                   ;DE    ;ALBENDIEGO                                      ;par  ;NUM;2;  ;998;  ;64
16700;CALLE                   ;DEL   ;ALBERCHE                                        ;impar;NUM;1;  ;19;  ;27
16700;CALLE                   ;DEL   ;ALBERCHE                                        ;impar;NUM;21;  ;999;  ;31
16700;CALLE                   ;DEL   ;ALBERCHE                                        ;par  ;NUM;2;  ;6;  ;27
16700;CALLE                   ;DEL   ;ALBERCHE                                        ;par  ;NUM;8;  ;998;  ;31
16800;CALLE                   ;DE    ;ALBERDI                                         ;impar;NUM;1;  ;999;  ;65
16800;CALLE                   ;DE    ;ALBERDI                                         ;par  ;NUM;2;  ;998;  ;65
16900;CALLE                   ;DEL   ;CROTON                                          ;impar;NUM;1;  ;999;  ;65
16900;CALLE                   ;DEL   ;CROTON                                          ;par  ;NUM;2;  ;998;  ;65
17200;CALLE                   ;DE    ;ALBERTO AGUILERA                                ;impar;NUM;1;  ;999;  ;15
17200;CALLE                   ;DE    ;ALBERTO AGUILERA                                ;par  ;NUM;2;  ;38;  ;72
17200;CALLE                   ;DE    ;ALBERTO AGUILERA                                ;par  ;NUM;40;  ;998;  ;71
17300;AVENIDA                 ;DE    ;ALBERTO ALCOCER                                 ;impar;NUM;1;  ;13;  ;55
17300;AVENIDA                 ;DE    ;ALBERTO ALCOCER                                 ;impar;NUM;15;  ;999;  ;55
17300;AVENIDA                 ;DE    ;ALBERTO ALCOCER                                 ;par  ;NUM;2;  ;18;  ;54
17300;AVENIDA                 ;DE    ;ALBERTO ALCOCER                                 ;par  ;NUM;20;  ;998;  ;54
17400;CALLE                   ;DE    ;ALBERTO BOSCH                                   ;impar;NUM;1;  ;999;  ;35
17400;CALLE                   ;DE    ;ALBERTO BOSCH                                   ;par  ;NUM;2;  ;998;  ;35
17600;CALLE                   ;DE    ;ALBERTO LEON PERALTA                            ;impar;NUM;1;  ;999;  ;56
17600;CALLE                   ;DE    ;ALBERTO LEON PERALTA                            ;par  ;NUM;2;  ;998;  ;56
