STOPID,NAME,asWKT
3458,24th St & Bryant St  ,POINT(-122.409281 37.752853)
3459,24th St & Bryant St  ,POINT(-122.408971 37.752755)
3460,24th St & Church St  ,POINT(-122.427327 37.751778)
3461,24th St & Church St  ,POINT(-122.427545 37.751644)
3462,24th St & Castro St  ,POINT(-122.434248 37.75136)
3463,24th St & Castro St  ,POINT(-122.433939 37.751262)
3464,24th St & Diamond St  ,POINT(-122.436184 37.751226)
3465,24th St & Diamond St  ,POINT(-122.436402 37.751092)
3466,24th St & Dolores St  ,POINT(-122.425311 37.751903)
3467,24th St & Dolores St  ,POINT(-122.425265 37.751787)
3468,24th St & Douglass St  ,POINT(-122.438361 37.751102)
3469,24th St & Folsom St  ,POINT(-122.414242 37.75256)
3470,24th St & Folsom St  ,POINT(-122.413933 37.752462)
3471,24th St & Guerrero St  ,POINT(-122.422767 37.752045)
3472,24th St & Guerrero St  ,POINT(-122.422985 37.751911)
3473,24th St & Harrison St  ,POINT(-122.412054 37.752694)
3474,24th St & Harrison St  ,POINT(-122.411744 37.752587)
3475,24th St & Hoffman Ave  ,POINT(-122.440504 37.750977)
3476,24th St & Mission St  ,POINT(-122.418333 37.752321)
3477,24th St & Mission St  ,POINT(-122.41855 37.752178)
3478,24th St & Noe St  ,POINT(-122.431773 37.751511)
3480,24th St & Potrero Ave  ,POINT(-122.40669 37.75299)
3481,24th St & Sanchez St  ,POINT(-122.42955 37.751645)
3482,24th St & Sanchez St  ,POINT(-122.429768 37.751511)
3483,24th St & South Van Ness Ave  ,POINT(-122.416156 37.752445)
3484,24th St & South Van Ness Ave  ,POINT(-122.416373 37.752311)
3485,24th St & Valencia St  ,POINT(-122.420556 37.752178)
3486,24th St & Valencia St  ,POINT(-122.42051 37.752062)
3489,25th Ave & Balboa St  ,POINT(-122.48456 37.776419)
3490,25th Ave & Balboa St  ,POINT(-122.484365 37.776187)
3491,25th Ave & California St  ,POINT(-122.485102 37.784003)
3492,25th Ave & California St  ,POINT(-122.48485 37.783807)
3495,25th Ave & Clement St  ,POINT(-122.484975 37.782147)
3496,25th Ave & Clement St  ,POINT(-122.484712 37.781951)
3497,25th Ave & El Camino Del Mar  ,POINT(-122.485139 37.787536)
3498,25th Ave & El Camino Del Mar  ,POINT(-122.485356 37.787367)
3499,25th Ave & Fulton St  ,POINT(-122.484295 37.772689)
3500,25th Ave & Geary Blvd  ,POINT(-122.484837 37.780255)
3501,25th Ave & Geary Blvd  ,POINT(-122.484619 37.779925)
3502,25th Ave & Lake St  ,POINT(-122.485241 37.785868)
3503,25th Ave & Lake St  ,POINT(-122.485034 37.785689)
3504,25th St & Connecticut St  ,POINT(-122.39634 37.75236)
3505,25th St & Connecticut St,POINT(-122.39662 37.752242)
3507,25th St & Dakota St  ,POINT(-122.394832 37.7525)
3510,25th St & Noe St  ,POINT(-122.431762 37.74978)
3511,25th St & Potrero Ave   ,POINT(-122.40668 37.751407)
3512,25th St & Wisconsin St  ,POINT(-122.39831 37.75224)
3513,25th St & Wisconsin St  ,POINT(-122.398293 37.752162)
3514,26th St & Castro St  ,POINT(-122.43363 37.74815)
3516,26th St & De Haro St  ,POINT(-122.40015 37.75086)
3517,26th St & De Haro St  ,POINT(-122.400024 37.750753)
3519,26th St & Mission St  ,POINT(-122.417818 37.749001)
3520,26th St & Noe St  ,POINT(-122.43177 37.74827)
3521,26th St & Noe St  ,POINT(-122.431636 37.748174)
3522,26th St & Rhode Island St  ,POINT(-122.401124 37.750718)
3523,26th St & South Van Ness Ave  ,POINT(-122.416065 37.749108)
3524,26th St & Wisconsin St  ,POINT(-122.39866 37.75111)
3525,29th Ave & Vicente St  ,POINT(-122.48611 37.73896)
3526,30th Ave & Quintara St  ,POINT(-122.4878 37.74799)
3527,30th Ave & Quintara St  ,POINT(-122.487926 37.74808)
3528,30th Ave & Rivera St  ,POINT(-122.4878 37.74636)
3529,30th Ave & Rivera St  ,POINT(-122.48767 37.74616)
3530,30th Ave & Santiago St  ,POINT(-122.48765 37.74451)
3531,30th Ave & Santiago St  ,POINT(-122.48756 37.74427)
3532,30th Ave & Taraval St  ,POINT(-122.487545 37.742646)
